City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,High Level,CA,73.51,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
73,Itarema,BR,77.4,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
74,Aksu,CN,72.43,clear sky,41.1231,80.2644,Pudong Holiday Hotel
75,Seminole,US,80.96,heavy intensity rain,28.7086,-81.2081,The Oviedo Lodge Motel
76,Atuona,PF,77.56,clear sky,-9.8,-139.0333,Villa Enata
77,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
78,Prachuap Khiri Khan,TH,71.42,light rain,12.2167,99.75,ผกากรองรีสอร์ท
79,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
80,Khandyga,RU,80.04,clear sky,62.6667,135.6,Apel'sin
81,Shu,KZ,72.39,clear sky,43.5983,73.7614,Shyngyzkhan
82,Boldumsaz,TM,82.45,clear sky,42.1282,59.671,Sarar oba
83,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
84,Odesa,UA,71.62,broken clouds,46.4775,30.7326,Londonskaya Hotel
85,Takoradi,GH,73.24,scattered clouds,4.8845,-1.7554,Raybow International Hotel
86,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
87,Kiunga,PG,73.54,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
88,Mandiana,GN,71.11,moderate rain,10.6333,-8.6833,Motels rouzo
89,Akyab,MM,81.72,overcast clouds,20.15,92.9,Hotel Memory
90,Veracruz,MX,80.19,broken clouds,19.3333,-96.6667,El Carrizal
91,Buchanan,LR,74.93,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
92,Katobu,ID,79.0,few clouds,-4.9408,122.5276,La Ode Husein
93,Havre-Saint-Pierre,CA,70.16,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
94,Tezu,IN,76.69,overcast clouds,27.9167,96.1667,Circuit House
95,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
96,San Quintin,MX,74.37,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
97,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
98,Ares,BR,75.29,broken clouds,-6.1944,-35.1603,Recanto dos Pássaros
99,Kathmandu,NP,70.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
100,Cintalapa,MX,76.87,broken clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
101,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
102,Zalantun,CN,76.75,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
103,Corn Island,NI,82.4,broken clouds,12.1694,-83.0418,Big Fish Guest House
104,Erenhot,CN,80.01,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
105,Eydhafushi,MV,80.55,heavy intensity rain,5.1033,73.0708,Soneva Fushi
106,Baoding,CN,77.16,clear sky,38.8511,115.4903,Xiu Lan Hotel
107,Ravar,IR,82.26,clear sky,31.2656,56.8055,computertik
108,Jhunjhunun,IN,84.0,overcast clouds,28.1307,75.4014,STARiHOTELS Jhunjhunu
109,Moussoro,TD,80.56,light rain,13.6408,16.4901,Hôtel Salama
110,Kismayo,SO,74.3,overcast clouds,-0.3582,42.5454,Agan-Hotel
111,Porto Novo,BJ,73.74,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
112,Calatayud,ES,72.99,clear sky,41.3535,-1.6432,Globales Castillo de Ayud
113,Rock Sound,BS,82.65,clear sky,24.9,-76.2,Pink Corral Bay Property
114,Fukue,JP,82.76,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
115,Chikhli,IN,72.43,overcast clouds,20.35,76.25,HOTEL GULMOHAR
116,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
117,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Green leaf
118,Ormara,PK,83.14,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
119,Atasu,KZ,78.33,overcast clouds,48.6814,71.6433,Dostyk
120,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
121,Lambarene,GA,73.15,overcast clouds,-0.7001,10.2406,Le Refuge
122,Kirakira,SB,84.67,broken clouds,-10.4544,161.9205,SanBiz Lodge
123,Labuhan,ID,76.48,few clouds,-6.8844,112.2051,DoubleFAG
124,Leo,BF,76.33,light rain,11.1,-2.1,Hotel Sissilis
125,Pedro Ii,BR,76.24,broken clouds,-4.4247,-41.4586,Opala Hotel
126,Matagami,CA,71.71,broken clouds,49.7502,-77.6328,Motel Le Caribou
127,Lagoa,PT,71.28,few clouds,39.05,-27.9833,Casa Das Faias
128,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
129,Reconquista,AR,71.82,overcast clouds,-29.15,-59.65,Grand Hotel
130,Naila,DE,71.76,broken clouds,50.3167,11.7,Hotel Grüner Baum
131,Hobyo,SO,75.22,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
132,Nicoya,CR,76.05,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
133,Awjilah,LY,75.18,clear sky,29.1081,21.2869,المنزل
134,Cloquet,US,81.68,overcast clouds,46.7216,-92.4594,Super 8 by Wyndham Cloquet
135,Gorontalo,ID,80.11,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
136,Mandapam,IN,82.44,few clouds,9.2833,79.1167,Tanvi Chachaa Chalet
137,Lodwar,KE,75.83,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
138,Jacareacanga,BR,77.41,few clouds,-6.2222,-57.7528,Casa do Ian😎
139,Kyaikto,MM,78.35,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
140,Pumiao,CN,82.8,overcast clouds,22.75,108.4833,Mushang Boutique Hotel
141,Andros Town,BS,82.36,scattered clouds,24.7,-77.7667,Hanks place
142,Manggar,ID,80.11,light rain,-2.8833,108.2667,Guest Hotel
143,Okrika,NG,75.6,overcast clouds,4.7416,7.0849,ayo mutiaru f
144,Lorengau,PG,83.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
145,Howard Springs,AU,77.88,overcast clouds,-12.497,131.047,buffalo beach hostel
146,Oussouye,SN,75.99,light rain,12.485,-16.5469,Auberge du Routard
147,Sirnak,TR,73.08,clear sky,37.5228,42.4594,Şehr-i Nuh Otel
148,Bafq,IR,81.45,clear sky,31.6128,55.4107,Alamdar Hotel
149,Bacungan,PH,82.45,broken clouds,9.9106,118.7022,Sumayang Property
150,Bandarbeyla,SO,74.16,scattered clouds,9.4942,50.8122,JABIR HOTEL
151,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
152,Riachao,BR,74.3,clear sky,-7.3619,-46.6172,Pousada Nordestina
153,Ariquemes,BR,75.27,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
154,Guanica,PR,84.13,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
155,Tahta,EG,84.27,few clouds,26.7693,31.5021,فندق الزيات
156,Kenora,CA,81.57,few clouds,49.8167,-94.4337,Maynard Lake Lodge
157,Powell River,CA,78.44,few clouds,49.8496,-124.5361,Rodmay Hotel
158,Atambua,ID,75.54,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
159,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
160,Nantucket,US,80.71,mist,41.2835,-70.0995,Jared Coffin House
161,Le Moule,GP,78.84,broken clouds,16.3332,-61.3473,Lakaz Hananou
162,High Prairie,CA,73.54,scattered clouds,55.4334,-116.4858,Royal Star Motor Inn
163,Ajdabiya,LY,73.71,clear sky,30.7554,20.2263,Almadina Hotel
164,Ha Tinh,VN,79.57,light rain,18.3333,105.9,Phú Quý
165,Jalu,LY,75.7,clear sky,29.0331,21.5482,صاحبة الفخامة
166,Acarau,BR,77.02,broken clouds,-2.8856,-40.12,castelo pizzaria
167,Vao,NC,73.98,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Yorosso,ML,71.94,light rain,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
169,Curuca,BR,74.17,scattered clouds,-0.7289,-47.8481,Hotel Curuça
170,Biltine,TD,80.64,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
171,Lagunillas,VE,81.93,clear sky,10.1301,-71.2595,Casa de Beatriz y Chucho
172,Pizarro,CO,77.07,moderate rain,4.9533,-77.366,Hotel Limonar
173,Lingao,CN,81.84,clear sky,19.9103,109.6859,Lingao Ditai Inn
174,Brindisi,IT,77.77,clear sky,40.5833,17.6667,Agriturismo Tibitone
175,Benjamin Constant,BR,73.38,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
176,Halifax,CA,75.69,broken clouds,44.6453,-63.5724,Hotel Halifax
177,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
178,Sidrolandia,BR,71.51,scattered clouds,-20.9319,-54.9614,Agropet São Francisco
179,Mweka,CD,70.5,scattered clouds,-4.85,21.5667,Guest House Boshab
180,Bhanvad,IN,79.0,overcast clouds,21.9264,69.7736,Mahalaxmi farshan
181,Pacific Grove,US,79.25,scattered clouds,36.6177,-121.9166,Lovers Point Inn
182,Cariati,IT,76.8,clear sky,39.4922,16.9594,La Residenza
183,Srivardhan,IN,78.89,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
184,Bougouni,ML,71.28,light rain,11.417,-7.479,Non Stop
185,Coruripe,BR,73.85,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
186,Shellbrook,CA,74.43,broken clouds,53.2168,-106.4011,Shellbrook Hotel
187,Touros,BR,73.9,light rain,-5.1989,-35.4608,INN NEW HORIZON
188,Conceicao Do Araguaia,BR,75.54,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
189,Brokopondo,SR,77.2,broken clouds,4.75,-55.1667,Matu Island
190,Puttur,IN,75.31,overcast clouds,12.7667,75.2167,Hotel Super Tower
191,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
192,Waddan,LY,76.57,clear sky,29.1614,16.139,محل الشريف محمد العايب
193,Sao Felix Do Xingu,BR,81.27,broken clouds,-6.6447,-51.995,Rio Xingu Camping
194,Ierapetra,GR,78.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
195,Puerto Quijarro,BO,73.45,clear sky,-17.7833,-57.7667,Hotel palance
196,Lethem,GY,76.05,overcast clouds,3.3803,-59.7968,Savannah Inn
197,Comonfort,MX,79.21,moderate rain,20.7167,-100.7667,El Kiosco Verde
198,Axim,GH,73.13,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
199,Fare,PF,77.63,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
200,Bubaque,GW,76.89,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
201,Visavadar,IN,77.16,overcast clouds,21.3833,70.6833,Brahmanad Dham Guest House
202,Loiza,PR,84.2,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
