City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Gurmatkal,IN,73.51,overcast clouds,16.8667,77.4,Patange Enterprises
164,Fez,MA,82.65,clear sky,34.0372,-4.9998,Hotel Mounia Fès
166,Trairi,BR,77.59,broken clouds,-3.2778,-39.2689,janelas do mar
168,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
172,Xinzhi,CN,77.72,clear sky,36.4989,111.7047,Mingyue Hotel
174,Wakefield,GB,66.83,overcast clouds,53.6809,-1.499,Hotel Restaurant Campanile Wakefield
175,Poum,NC,77.56,overcast clouds,-20.2333,164.0167,
180,Matay,EG,79.65,clear sky,28.419,30.7792,Nag Aespen
186,Amuntai,ID,77.02,clear sky,-2.4177,115.2494,Hotel Balqis
188,Cabrera,DO,78.73,clear sky,19.6426,-69.9049,Terramar Hotel
189,Bubanza,BI,69.62,scattered clouds,-3.1167,29.4,Maison d'accueil le buissonnet
191,Tucurui,BR,81.1,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
192,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
193,Sinnamary,GF,77.34,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
194,Presidente Epitacio,BR,73.81,scattered clouds,-21.7633,-52.1156,Hotel Itaverá
195,Bull Savanna,JM,78.76,few clouds,17.8868,-77.5902,Big Red's
196,Kalmunai,LK,79.27,broken clouds,7.4167,81.8167,VS Villa
198,Port Blair,IN,80.26,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
199,Sur,OM,83.19,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
200,Obihiro,JP,65.61,broken clouds,42.9172,143.2044,Tokachi Gardens Hotel
201,Seoul,KR,71.17,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
203,Padang,ID,73.45,scattered clouds,-0.9492,100.3543,Mercure Padang
204,Dubuque,US,81.52,clear sky,42.4833,-90.8668,American Inn and Suites
206,Barcelos,PT,70.84,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
207,Tessalit,ML,83.01,broken clouds,20.1986,1.0114,
208,Cabo Rojo,PR,83.97,scattered clouds,18.0866,-67.1457,Hotel Perichi's
209,Cuamba,MZ,65.68,scattered clouds,-14.8031,36.5372,Hotel Vision
211,Tual,ID,78.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
212,High Level,CA,73.51,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
214,Itarema,BR,77.4,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
215,Sao Joao Da Barra,BR,67.98,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
219,Aksu,CN,72.43,clear sky,41.1231,80.2644,Pudong Holiday Hotel
221,Seminole,US,80.96,heavy intensity rain,28.7086,-81.2081,The Oviedo Lodge Motel
222,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
223,Atuona,PF,77.56,clear sky,-9.8,-139.0333,Villa Enata
225,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
227,Prachuap Khiri Khan,TH,71.42,light rain,12.2167,99.75,ผกากรองรีสอร์ท
229,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
231,Khandyga,RU,80.04,clear sky,62.6667,135.6,Apel'sin
233,Shu,KZ,72.39,clear sky,43.5983,73.7614,Shyngyzkhan
234,Boldumsaz,TM,82.45,clear sky,42.1282,59.671,Sarar oba
235,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
236,Saint-Leu,RE,67.06,scattered clouds,-21.15,55.2833,La Caz Oceane
238,Odesa,UA,71.62,broken clouds,46.4775,30.7326,Londonskaya Hotel
244,Takoradi,GH,73.24,scattered clouds,4.8845,-1.7554,Raybow International Hotel
245,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
247,Kiunga,PG,73.54,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
249,Mandiana,GN,71.11,moderate rain,10.6333,-8.6833,Motels rouzo
250,Akyab,MM,81.72,overcast clouds,20.15,92.9,Hotel Memory
255,Veracruz,MX,80.19,broken clouds,19.3333,-96.6667,El Carrizal
256,Buchanan,LR,74.93,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
257,Katobu,ID,79.0,few clouds,-4.9408,122.5276,La Ode Husein
259,Havre-Saint-Pierre,CA,70.16,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
261,Tezu,IN,76.69,overcast clouds,27.9167,96.1667,Circuit House
265,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
266,Ercis,TR,65.88,clear sky,39.0287,43.3586,Erciş Elit Otel
267,San Quintin,MX,74.37,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
268,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
269,Ares,BR,75.29,broken clouds,-6.1944,-35.1603,Recanto dos Pássaros
271,Nikolskoye,RU,65.88,broken clouds,59.7035,30.7861,Tourist House - Sablino
272,Kathmandu,NP,70.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
274,Cintalapa,MX,76.87,broken clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
276,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
278,Zalantun,CN,76.75,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
279,Corn Island,NI,82.4,broken clouds,12.1694,-83.0418,Big Fish Guest House
280,Almaznyy,RU,65.39,broken clouds,48.0448,40.045,
284,Astorga,BR,65.79,clear sky,-23.2325,-51.6656,Rancho Jads
285,Erenhot,CN,80.01,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
286,Eydhafushi,MV,80.55,heavy intensity rain,5.1033,73.0708,Soneva Fushi
289,Baoding,CN,77.16,clear sky,38.8511,115.4903,Xiu Lan Hotel
290,Ravar,IR,82.26,clear sky,31.2656,56.8055,computertik
291,Moose Factory,CA,68.0,haze,51.2585,-80.6094,Cree Village Eco Lodge
292,Jhunjhunun,IN,84.0,overcast clouds,28.1307,75.4014,STARiHOTELS Jhunjhunu
294,Moussoro,TD,80.56,light rain,13.6408,16.4901,Hôtel Salama
295,Kismayo,SO,74.3,overcast clouds,-0.3582,42.5454,Agan-Hotel
296,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
298,Porto Novo,BJ,73.74,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
300,Calatayud,ES,72.99,clear sky,41.3535,-1.6432,Globales Castillo de Ayud
305,Rock Sound,BS,82.65,clear sky,24.9,-76.2,Pink Corral Bay Property
306,Klyuchi,RU,66.99,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
307,Fukue,JP,82.76,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
308,Chikhli,IN,72.43,overcast clouds,20.35,76.25,HOTEL GULMOHAR
310,Ola,RU,77.14,scattered clouds,59.5833,151.2833,
311,Huanren,CN,67.06,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
317,Colares,PT,68.9,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
322,Lucapa,AO,68.76,clear sky,-8.4192,20.7447,Lírio Mendes
324,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
326,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Green leaf
327,Ormara,PK,83.14,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
329,Atasu,KZ,78.33,overcast clouds,48.6814,71.6433,Dostyk
331,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
334,Lambarene,GA,73.15,overcast clouds,-0.7001,10.2406,Le Refuge
336,Kirakira,SB,84.67,broken clouds,-10.4544,161.9205,SanBiz Lodge
337,Labuhan,ID,76.48,few clouds,-6.8844,112.2051,DoubleFAG
339,Leo,BF,76.33,light rain,11.1,-2.1,Hotel Sissilis
340,Pedro Ii,BR,76.24,broken clouds,-4.4247,-41.4586,Opala Hotel
343,Matagami,CA,71.71,broken clouds,49.7502,-77.6328,Motel Le Caribou
346,Lagoa,PT,71.28,few clouds,39.05,-27.9833,Casa Das Faias
347,Inhambane,MZ,67.35,clear sky,-23.865,35.3833,Oceano
349,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
350,Bouza,NE,79.66,moderate rain,14.4229,6.0428,
351,Reconquista,AR,71.82,overcast clouds,-29.15,-59.65,Grand Hotel
354,Naila,DE,71.76,broken clouds,50.3167,11.7,Hotel Grüner Baum
356,Hobyo,SO,75.22,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
357,Solhan,TR,66.31,clear sky,38.9634,41.0293,Solhan Ogretmenevi
359,Nicoya,CR,76.05,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
360,Awjilah,LY,75.18,clear sky,29.1081,21.2869,المنزل
364,Cloquet,US,81.68,overcast clouds,46.7216,-92.4594,Super 8 by Wyndham Cloquet
365,Gorontalo,ID,80.11,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
367,Arman,RU,77.02,few clouds,59.7,150.1667,
368,Gilbues,BR,69.62,clear sky,-9.8317,-45.3439,Hotel Camapuã
372,Lasa,IT,67.37,few clouds,46.6166,10.7002,Pension Feldgärtenhof
374,Mandapam,IN,82.44,few clouds,9.2833,79.1167,Tanvi Chachaa Chalet
375,Cheran,MX,67.6,broken clouds,19.6833,-101.95,HOTEL ISABELLI CHERAN
380,Lodwar,KE,75.83,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
381,Avera,US,84.25,overcast clouds,33.194,-82.5271,
382,Jacareacanga,BR,77.41,few clouds,-6.2222,-57.7528,Casa do Ian😎
385,Kyaikto,MM,78.35,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
387,Pumiao,CN,82.8,overcast clouds,22.75,108.4833,Mushang Boutique Hotel
389,Andros Town,BS,82.36,scattered clouds,24.7,-77.7667,Hanks place
390,Manggar,ID,80.11,light rain,-2.8833,108.2667,Guest Hotel
391,Lisala,CD,69.67,broken clouds,2.15,21.5167,Guest house Eden
394,Okrika,NG,75.6,overcast clouds,4.7416,7.0849,ayo mutiaru f
397,Lorengau,PG,83.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
398,College,US,68.58,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
400,Aljezur,PT,66.74,clear sky,37.3191,-8.8033,Amazigh Hostel
402,Howard Springs,AU,77.88,overcast clouds,-12.497,131.047,buffalo beach hostel
404,Oussouye,SN,75.99,light rain,12.485,-16.5469,Auberge du Routard
406,Sirnak,TR,73.08,clear sky,37.5228,42.4594,Şehr-i Nuh Otel
407,Bafq,IR,81.45,clear sky,31.6128,55.4107,Alamdar Hotel
409,Bacungan,PH,82.45,broken clouds,9.9106,118.7022,Sumayang Property
412,Crisan,RO,69.26,few clouds,44.9667,29.4667,
413,Linhares,BR,66.92,few clouds,-19.3911,-40.0722,Hotel Conceição
